"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R3,R2,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
2;"U3";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"PCF8574T";;;
3;"K3,K4,K1,K2";"Relay_SPDT_SANYOU_SRD_Series_Form_C";4;"SANYOU_SRD_Form_C";;;
4;"C6,C4,C2,C1,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100n";;;
5;"L1";"L_Ferrocore_DLG-0504";1;"68uH";;;
6;"C3";"CP_Radial_D5.0mm_P2.50mm";1;"100uF";;;
7;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
8;"J3";"TerminalBlock_MetzConnect_Type059_RT06304HBWC_1x04_P3.50mm_Horizontal";1;"Screw_Terminal_01x04";;;
9;"R6,R10,R12,R5,R9,R7,R8,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"4k7";;;
10;"D4";"D_SMA_Handsoldering";1;"MRA4003T3G";;;
11;"J2,J7,J5,J6";"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical";4;"Conn_01x03_Socket";;;
12;"C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
13;"U10";"SOP-16_4.4x10.4mm_P1.27mm";1;"ELQ3H4";;;
14;"U2";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"ULN2003A";;;
15;"D5";"D_SMA_Handsoldering";1;"SS34";;;
16;"J1";"TerminalBlock_MetzConnect_Type059_RT06305HBWC_1x05_P3.50mm_Horizontal";1;"Screw_Terminal_01x05";;;
17;"C5";"C_Radial_D10.0mm_H16.0mm_P5.00mm";1;"470uF";;;
18;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HCT14";;;
19;"U5";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
20;"C9";"C_Radial_D5.0mm_H11.0mm_P2.00mm";1;"220uF";;;
21;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"XL1509-5.0";;;
22;"SW1";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm";1;"SW_DIP_x03";;;
